Type,Name,Difference,Url1,Url2,Value1,Value2
"View","[incident] Cases Opened in the Last 7 days","Different Layout XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=c111f612-1563-df11-ae90-00155d2e3002","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=c111f612-1563-df11-ae90-00155d2e3002","ll name=""ticketnumber"" width=""150""/><cel","ll name=""statecode"" width=""100""/><cell n"
"View","[incident] Recent Cases","Different Fetch XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=ebd1d24a-eea7-e211-9fb6-00155dd0ea05","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=ebd1d24a-eea7-e211-9fb6-00155dd0ea05","ntid"" /><attribute name=""caseorigincode""","ntid"" /></entity></fetch>"
"View","[incident] Recent Cases","Different Layout XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=ebd1d24a-eea7-e211-9fb6-00155dd0ea05","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=ebd1d24a-eea7-e211-9fb6-00155dd0ea05","ll name=""ticketnumber"" width=""150""/><cel","ll name=""prioritycode"" width=""100""/><cel"
"View","[incident] Active Customer Cases","Different Fetch XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=fb30f6af-cea8-4320-a060-151350f1f0e7","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=fb30f6af-cea8-4320-a060-151350f1f0e7","edon"" /><attribute name=""caseorigincode""","edon"" /><filter><condition attribute=""st"
"View","[incident] Active Customer Cases","Different Layout XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=fb30f6af-cea8-4320-a060-151350f1f0e7","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=fb30f6af-cea8-4320-a060-151350f1f0e7","ng=""1""/><cell name=""caseorigincode"" widt","ng=""1""/></row></grid>"
"View","[incident] Case Lookup View","Different Fetch XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=9ac51863-58c7-49a0-adcc-afd9a4c3ee59","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=9ac51863-58c7-49a0-adcc-afd9a4c3ee59","e=""2"" /><condition attribute=""parentcase","e=""2"" /></filter><order attribute=""title"
"View","[incident] My Connections","Different Fetch XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=6dfba3a1-6df3-4140-831b-b385c7e92b64","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=6dfba3a1-6df3-4140-831b-b385c7e92b64","edon"" /><attribute name=""caseorigincode""","edon"" /><filter><condition attribute=""st"
"View","[incident] My Connections","Different Layout XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=6dfba3a1-6df3-4140-831b-b385c7e92b64","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=6dfba3a1-6df3-4140-831b-b385c7e92b64","l name=""caseorigincode"" width=""100""/><ce","l name=""createdon"" width=""150""/></row></"
"View","[incident] Quick Find Cases","Different Fetch XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=d95d47ef-4a1d-479e-9065-b9cea0089048","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=d95d47ef-4a1d-479e-9065-b9cea0089048","edon"" /><attribute name=""caseorigincode""","edon"" /><filter><condition attribute=""st"
"View","[incident] Quick Find Cases","Different Layout XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=d95d47ef-4a1d-479e-9065-b9cea0089048","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=d95d47ef-4a1d-479e-9065-b9cea0089048","=""150""/><cell name=""caseorigincode"" widt","=""150""/></row></grid>"
